date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:17	44104/44104	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-ac48%22	https://ras-it.rs/wp-content/plugins/the-grid/frontend/assets/css/the-grid.min.css?ver=2.6.50	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/the-grid/frontend/assets/css/the-grid.min55a8.css	(from https://ras-it.rs/)
21:17:17	97176/97176	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-17ba0%22	https://ras-it.rs/wp-includes/js/jquery/jquery.js?ver=1.12.4	S:/Web%20copies/Website%200108/ras-it.rs/wp-includes/js/jquery/jqueryb8ff.js	(from https://ras-it.rs/)
21:17:17	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-2748%22	https://ras-it.rs/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	S:/Web%20copies/Website%200108/ras-it.rs/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://ras-it.rs/)
21:17:18	29140/29140	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-7341%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/js/lightbox.js?ver=2.1.6.2.2	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/js/lightbox4d6b.js	(from https://ras-it.rs/)
21:17:18	107147/107147	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-1a28b%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/js/jquery.themepunch.tools.min.js?ver=2.1.6.2.2	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/js/jquery.themepunch.tools.min4d6b.js	(from https://ras-it.rs/)
21:17:18	64971/64971	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b51e11e-fdcb%22	https://ras-it.rs/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.7.4	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min26ce.js	(from https://ras-it.rs/)
21:17:19	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202020%2010:48:53%20GMT	https://ras-it.rs/xmlrpc.php?rsd	S:/Web%20copies/Website%200108/ras-it.rs/xmlrpc0db0.php	(from https://ras-it.rs/)
21:17:19	52788/52788	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/wp-json/	S:/Web%20copies/Website%200108/ras-it.rs/wp-json/index.html	(from https://ras-it.rs/)
21:17:19	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225b51e11e-415%22	https://ras-it.rs/wp-includes/wlwmanifest.xml	S:/Web%20copies/Website%200108/ras-it.rs/wp-includes/wlwmanifest.xml	(from https://ras-it.rs/)
21:17:20	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202020%2010:48:54%20GMT	https://ras-it.rs/wp-json/oembed/1.0/embed?url=http%3A%2F%2F%2F	S:/Web%20copies/Website%200108/ras-it.rs/wp-json/oembed/1.0/embeda1f5	(from https://ras-it.rs/)
21:17:20	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202020%2010:48:55%20GMT	https://ras-it.rs/wp-json/oembed/1.0/embed?url=http%3A%2F%2F%2F&format=xml	S:/Web%20copies/Website%200108/ras-it.rs/wp-json/oembed/1.0/embede636	(from https://ras-it.rs/)
21:17:21	892/892	---M--	200	added ('OK')	image/png	etag:%225b51e11e-37c%22	https://ras-it.rs/wp-content/uploads/2018/07/ras-it-logo-za-sajt-manji.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/ras-it-logo-za-sajt-manji.png	(from https://ras-it.rs/)
21:17:21	76985/76985	---M--	200	added ('OK')	image/png	etag:%225b51e11e-12cb9%22	https://ras-it.rs/wp-content/uploads/2018/07/rasit-hero-2.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/rasit-hero-2.png	(from https://ras-it.rs/)
21:17:21	130085/130085	---M--	200	added ('OK')	image/png	etag:%225b51e11e-1fc25%22	https://ras-it.rs/wp-content/uploads/2018/07/services-1024x639.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/services-1024x639.png	(from https://ras-it.rs/)
21:17:21	25954/25954	---M--	200	added ('OK')	image/png	etag:%225b51e11e-6562%22	https://ras-it.rs/wp-content/uploads/2018/07/soge.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/soge.png	(from https://ras-it.rs/)
21:17:22	41599/41599	---M--	200	added ('OK')	image/png	etag:%225b51e11e-a27f%22	https://ras-it.rs/wp-content/uploads/2018/07/otp3.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/otp3.png	(from https://ras-it.rs/)
21:17:22	57544/57544	---M--	200	added ('OK')	image/png	etag:%225b51e11e-e0c8%22	https://ras-it.rs/wp-content/uploads/2018/07/hemofarm2.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/hemofarm2.png	(from https://ras-it.rs/)
21:17:22	65425/65425	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/services/penetration-testing/	S:/Web%20copies/Website%200108/ras-it.rs/services/penetration-testing/index.html	(from https://ras-it.rs/)
21:17:22	33160/33160	---M--	200	added ('OK')	image/png	etag:%225b51e11e-8188%22	https://ras-it.rs/wp-content/uploads/2018/07/telekom2.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/telekom2.png	(from https://ras-it.rs/)
21:17:22	41033/41033	---M--	200	added ('OK')	image/png	etag:%225b51e11e-a049%22	https://ras-it.rs/wp-content/uploads/2018/07/mts.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/mts.png	(from https://ras-it.rs/)
21:17:23	37342/37342	---M--	200	added ('OK')	image/png	etag:%225b51e11e-91de%22	https://ras-it.rs/wp-content/uploads/2018/07/grad.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/grad.png	(from https://ras-it.rs/)
21:17:23	51868/51868	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/services/vulnerability-assessment/	S:/Web%20copies/Website%200108/ras-it.rs/services/vulnerability-assessment/index.html	(from https://ras-it.rs/)
21:17:23	293824/293824	---M--	200	added ('OK')	image/png	etag:%225b51e11e-47bc0%22	https://ras-it.rs/wp-content/uploads/2018/07/approach-1-1024x639.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/approach-1-1024x639.png	(from https://ras-it.rs/)
21:17:23	63189/63189	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/services/digital-forensics/	S:/Web%20copies/Website%200108/ras-it.rs/services/digital-forensics/index.html	(from https://ras-it.rs/)
21:17:24	74419/74419	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/services/	S:/Web%20copies/Website%200108/ras-it.rs/services/index.html	(from https://ras-it.rs/)
21:17:24	3905/3905	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jan%202020%2010:48:58%20GMT	https://ras-it.rs/cdn-cgi/l/email-protection	S:/Web%20copies/Website%200108/ras-it.rs/cdn-cgi/l/email-protection.html	(from https://ras-it.rs/)
21:17:24	55668/55668	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/about-us/	S:/Web%20copies/Website%200108/ras-it.rs/about-us/index.html	(from https://ras-it.rs/)
21:17:24	58678/58678	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/resources/	S:/Web%20copies/Website%200108/ras-it.rs/resources/index.html	(from https://ras-it.rs/)
21:17:25	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e132e21-4d7%22	https://ras-it.rs/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	S:/Web%20copies/Website%200108/ras-it.rs/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://ras-it.rs/)
